X,Y,gbifID,datasetKey,occurrence,kingdom,phylum,class,order,family,genus,species,infraspeci,taxonRank,scientific,verbatimSc,Name_BO2,verbatim_1,countryCod,locality,stateProvi,occurren_1,individual,publishing,decimalLat,decimalLon,coordinate,coordina_1,elevation,elevationA,depth,depthAccur,eventDate,day,month,year,1,2,3,4,5,6,taxonKey,speciesKey,basisOfRec,institutio,collection,catalogNum,recordNumb,identified,dateIdenti,license,rightsHold,recordedBy,typeStatus,establishm,lastInterp,mediaType,issue,FID,BL_KZ,BL,ST_KZ,ST,FL,FL_KM,STAND,SHAPE_Leng,SHAPE_Area,RASTERF,QUADR,INSIDE,BLAND,FELD_IN_A,X_COORD,Y_COORD,GFELD,GFELD_Y,GFELD_X,QU,icon_url
11.87501,47.175,3885295749,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758",,AT,Mayrhofen,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.159999999999997,11.859999999999999,"500",,,,,,##############################################################################################################################################################################################################################################################,"17","8","1899","1","0","0","0","0","1","8225376","8225376",OCCURRENCE,LI,ZOBODAT,"2804875",,Gusenleitner Josef,,CC0_1_0,,,,,13.01.2023 09:21:14,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"88371",8837/1,"100",AT,QU,11.875010000000000,47.174999999999997,"8837","88","37","1",./0.png
11.37501,47.225,3882984970,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758",,AT,Bergisel,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.240000000000002,11.400000000000000,"500",,,,,,##############################################################################################################################################################################################################################################################,"10","5","1899","1","0","0","0","0","1","8225376","8225376",MATERIAL_CITATION,LI,ZOBODAT,"2858842",,,,CC0_1_0,,,,,13.01.2023 09:20:02,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"87343",8734/3,"100",AT,QU,11.375010000000000,47.225000000000001,"8734","87","34","3",./0.png
11.04168,46.875,3882879094,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758",,AT,Gurgl,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,46.890000000000001,11.029999999999999,"500",,,,,,28.07.1906 00:00:00,"28","7","1906","1","0","0","0","0","1","8225376","8225376",OCCURRENCE,LI,ZOBODAT,"2791658",,,,CC0_1_0,,,,,13.01.2023 09:20:02,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"91321",9132/1,"100",AT,QU,11.041679999999999,46.875000000000000,"9132","91","32","1",./0.png
12.54168,47.575,3885341351,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758",,AT,Waidring,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.579999999999998,12.560000000000000,"500",,,,,,01.01.1908 00:00:00,,,"1908","1","0","0","0","0","1","8225376","8225376",OCCURRENCE,LI,ZOBODAT,"2858155",,Gusenleitner Josef,,CC0_1_0,,,,,13.01.2023 09:21:14,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"84411",8441/1,"100",AT,QU,12.541679999999999,47.575000000000003,"8441","84","41","1",./0.png
10.87501,47.175,3885312354,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758",,AT,?–tz,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.200000000000003,10.890000000000001,"500",,,,,,30.07.1912 00:00:00,"30","7","1912","1","0","0","0","0","1","8225376","8225376",MATERIAL_CITATION,LI,ZOBODAT,"2855604",,,,CC0_1_0,,,,,13.01.2023 09:21:13,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"88311",8831/1,"100",AT,QU,10.875010000000000,47.174999999999997,"8831","88","31","1",./0.png
10.95834,46.975,3885253414,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758",,AT,S?¶lden,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,46.960000000000001,11.000000000000000,"500",,,,,,01.07.1920 00:00:00,,"7","1920","1","0","0","0","0","1","8225376","8225376",OCCURRENCE,LI,ZOBODAT,"2801978",,Gusenleitner Josef,,CC0_1_0,,,,,13.01.2023 09:21:13,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"90312",9031/2,"100",AT,QU,10.958340000000000,46.975000000000001,"9031","90","31","2",./0.png
12.04168,47.425,3885489801,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758",,AT,Anzenstein b. W?¶rgl,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.450000000000003,12.083333000000000,"5000",,,,,,15.04.1924 00:00:00,"15","4","1924","1","0","0","0","0","1","8225376","8225376",OCCURRENCE,LI,ZOBODAT,"3088010",,Burmann Karl,,CC0_1_0,,Burmann Karl,,,13.01.2023 09:21:16,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"85383",8538/3,"100",AT,QU,12.041679999999999,47.424999999999997,"8538","85","38","3",./0.png
11.79168,47.125,3885282068,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758",,AT,Finkenberg W Mayrhofen,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.149999999999999,11.820000000000000,"500",,,,,,22.07.1924 00:00:00,"22","7","1924","1","0","0","0","0","1","8225376","8225376",MATERIAL_CITATION,LI,ZOBODAT,"2863880",,,,CC0_1_0,,Koschabek Franz,,,13.01.2023 09:21:14,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"88364",8836/4,"100",AT,QU,11.791679999999999,47.125000000000000,"8836","88","36","4",./0.png
11.87501,47.175,3885263475,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758",,AT,Mayrhofen,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.159999999999997,11.859999999999999,"500",,,,,,11.08.1924 00:00:00,"11","8","1924","1","0","0","0","0","1","8225376","8225376",MATERIAL_CITATION,LI,ZOBODAT,"2805078",,,,CC0_1_0,,Koschabek Franz,,,13.01.2023 09:21:13,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"88371",8837/1,"100",AT,QU,11.875010000000000,47.174999999999997,"8837","88","37","1",./0.png
11.87501,47.175,3884474418,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758",,AT,Mayrhofen,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.159999999999997,11.859999999999999,"500",,,,,,07.08.1924 00:00:00,"7","8","1924","1","0","0","0","0","1","8225376","8225376",MATERIAL_CITATION,LI,ZOBODAT,"2805052",,,,CC0_1_0,,Koschabek Franz,,,13.01.2023 09:21:17,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"88371",8837/1,"100",AT,QU,11.875010000000000,47.174999999999997,"8837","88","37","1",./0.png
12.54168,47.575,3885199892,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758",,AT,Waidring,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.579999999999998,12.560000000000000,"500",,,,,,01.07.1929 00:00:00,,"7","1929","1","0","0","0","0","1","8225376","8225376",OCCURRENCE,LI,ZOBODAT,"2858157",,Gusenleitner Josef,,CC0_1_0,,,,,13.01.2023 09:21:14,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"84411",8441/1,"100",AT,QU,12.541679999999999,47.575000000000003,"8441","84","41","1",./0.png
10.87501,47.175,3882847659,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758",,AT,Sautens (?–tztal),,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.200000000000003,10.859999999999999,"500",,,,,,01.07.1930 00:00:00,,"7","1930","1","0","0","0","0","1","8225376","8225376",OCCURRENCE,LI,ZOBODAT,"3069881",,Gusenleitner Josef,,CC0_1_0,,,,,13.01.2023 09:20:04,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"88311",8831/1,"100",AT,QU,10.875010000000000,47.174999999999997,"8831","88","31","1",./0.png
12.54168,46.925,3885282111,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758",,AT,Huben NW Lienz,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,46.930000000000000,12.570000000000000,"500",,,,,,02.07.1931 00:00:00,"2","7","1931","1","0","0","0","0","1","8225376","8225376",MATERIAL_CITATION,LI,ZOBODAT,"2864582",,,,CC0_1_0,,,,,13.01.2023 09:21:14,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"90413",9041/3,"100",AT,QU,12.541679999999999,46.924999999999997,"9041","90","41","3",./0.png
11.37501,47.225,3885197136,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758",,AT,Sillschlucht bei Innsbruck,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.216667000000001,11.395833000000000,"500",,,,,,13.05.1931 00:00:00,"13","5","1931","1","0","0","0","0","1","8225376","8225376",OCCURRENCE,LI,ZOBODAT,"2824445",,Burmann Karl,,CC0_1_0,,Burmann Karl,,,13.01.2023 09:21:12,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"87343",8734/3,"100",AT,QU,11.375010000000000,47.225000000000001,"8734","87","34","3",./0.png
12.54168,47.025,3882925110,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758",,AT,Windisch-Matrei,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.000000000000000,12.539999999999999,"500",,,,,,26.09.1931 00:00:00,"26","9","1931","1","0","0","0","0","1","8225376","8225376",MATERIAL_CITATION,LI,ZOBODAT,"3092822",,,,CC0_1_0,,,,,13.01.2023 09:20:05,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"89413",8941/3,"100",AT,QU,12.541679999999999,47.024999999999999,"8941","89","41","3",./0.png
12.54168,46.975,3882925110,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758",,AT,Windisch-Matrei,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.000000000000000,12.539999999999999,"500",,,,,,26.09.1931 00:00:00,"26","9","1931","1","0","0","0","0","1","8225376","8225376",MATERIAL_CITATION,LI,ZOBODAT,"3092822",,,,CC0_1_0,,,,,13.01.2023 09:20:05,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"90411",9041/1,"100",AT,QU,12.541679999999999,46.975000000000001,"9041","90","41","1",./0.png
12.54168,46.925,3011935655,c1492854-5d15-40e9-9ee7-24a18ac05112,8E3FC53E-4FEF-4A3A-B361-3389B429C5EB,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758",,AT,Matrei in Osttirol,,PRESENT,,7a070ba0-bafb-11d9-8e53-b8a03c50a862,46.939999999999998,12.570000000000000,"250",,"810",,,,02.07.1931 00:00:00,"2","7","1931","1","0","0","0","0","1","8225376","8225376",MATERIAL_CITATION,HNS,Biodiversit?¤tsdatenbank Salzburg,"208516",,,,CC_BY_4_0,,ContactID: 2990,,,13.01.2023 11:53:45,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"90413",9041/3,"100",AT,QU,12.541679999999999,46.924999999999997,"9041","90","41","3",./0.png
12.54168,47.025,3011521860,c1492854-5d15-40e9-9ee7-24a18ac05112,10AE91CF-F06F-483F-B97F-D81315711B19,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758",,AT,Matrei in Osttirol,,PRESENT,,7a070ba0-bafb-11d9-8e53-b8a03c50a862,47.000000000000000,12.539999999999999,"1111",,"975",,,,26.09.1931 00:00:00,"26","9","1931","1","0","0","0","0","1","8225376","8225376",MATERIAL_CITATION,HNS,Biodiversit?¤tsdatenbank Salzburg,"208518",,,,CC_BY_4_0,,ContactID: 2990,,,13.01.2023 11:51:25,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"89413",8941/3,"100",AT,QU,12.541679999999999,47.024999999999999,"8941","89","41","3",./0.png
12.54168,46.975,3011521860,c1492854-5d15-40e9-9ee7-24a18ac05112,10AE91CF-F06F-483F-B97F-D81315711B19,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758",,AT,Matrei in Osttirol,,PRESENT,,7a070ba0-bafb-11d9-8e53-b8a03c50a862,47.000000000000000,12.539999999999999,"1111",,"975",,,,26.09.1931 00:00:00,"26","9","1931","1","0","0","0","0","1","8225376","8225376",MATERIAL_CITATION,HNS,Biodiversit?¤tsdatenbank Salzburg,"208518",,,,CC_BY_4_0,,ContactID: 2990,,,13.01.2023 11:51:25,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"90411",9041/1,"100",AT,QU,12.541679999999999,46.975000000000001,"9041","90","41","1",./0.png
12.87501,46.825,3010793343,c1492854-5d15-40e9-9ee7-24a18ac05112,348A0D94-E1CE-4990-BD8D-935A72E81A3A,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758",,AT,Iselsberg-Stronach,,PRESENT,,7a070ba0-bafb-11d9-8e53-b8a03c50a862,46.840000000000003,12.850000000000000,"500",,"1117",,,,14.07.1931 00:00:00,"14","7","1931","1","0","0","0","0","1","8225376","8225376",MATERIAL_CITATION,HNS,Biodiversit?¤tsdatenbank Salzburg,"208517",,,,CC_BY_4_0,,ContactID: 2990,,,13.01.2023 11:48:12,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"91433",9143/3,"100",A,QU,12.875010000000000,46.825000000000003,"9143","91","43","3",./0.png
11.37501,47.225,3885338418,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758",,AT,G?¤rberbach b. Innsbruck,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.229999999999997,11.380000000000001,"500",,,,,,01.05.1933 00:00:00,"1","5","1933","1","0","0","0","0","1","8225376","8225376",OCCURRENCE,LI,ZOBODAT,"2799006",,Burmann Karl,,CC0_1_0,,Burmann Karl,,,13.01.2023 09:21:08,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"87343",8734/3,"100",AT,QU,11.375010000000000,47.225000000000001,"8734","87","34","3",./0.png
12.62501,47.475,3885326261,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758",,AT,Hochfilzen,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.469999999999999,12.609999999999999,"500",,,,,,05.07.1933 00:00:00,"5","7","1933","1","0","0","0","0","1","8225376","8225376",OCCURRENCE,LI,ZOBODAT,"2856706",,Burmann Karl,,CC0_1_0,,Burmann Karl,,,13.01.2023 09:21:14,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"85412",8541/2,"100",A,QU,12.625010000000000,47.475000000000001,"8541","85","41","2",./0.png
11.37501,47.225,3885199938,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758",,AT,Bergisel,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.240000000000002,11.400000000000000,"500",,,,,,05.05.1933 00:00:00,"5","5","1933","1","0","0","0","0","1","8225376","8225376",OCCURRENCE,LI,ZOBODAT,"2858850",,Burmann Karl,,CC0_1_0,,Burmann Karl,,,13.01.2023 09:21:14,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"87343",8734/3,"100",AT,QU,11.375010000000000,47.225000000000001,"8734","87","34","3",./0.png
12.04168,47.425,3883072525,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758",,AT,Anzenstein b. W?¶rgl,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.450000000000003,12.083333000000000,"5000",,,,,,20.05.1933 00:00:00,"20","5","1933","1","0","0","0","0","1","8225376","8225376",OCCURRENCE,LI,ZOBODAT,"3088014",,Burmann Karl,,CC0_1_0,,Burmann Karl,,,13.01.2023 09:20:06,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"85383",8538/3,"100",AT,QU,12.041679999999999,47.424999999999997,"8538","85","38","3",./0.png
12.04168,47.475,3885352156,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758",,AT,W?¶rgl,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.479999999999997,12.060000000000000,"500",,,,,,21.05.1934 00:00:00,"21","5","1934","1","0","0","0","0","1","8225376","8225376",OCCURRENCE,LI,ZOBODAT,"2849171",,Burmann Karl,,CC0_1_0,,Burmann Karl,,,13.01.2023 09:21:17,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"85381",8538/1,"100",AT,QU,12.041679999999999,47.475000000000001,"8538","85","38","1",./0.png
12.87501,46.875,3882662843,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758",,AT,Iselsberg (Osttirol),,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,46.850000000000001,12.850000000000000,"500",,,,,,14.07.1934 00:00:00,"14","7","1934","1","0","0","0","0","1","8225376","8225376",MATERIAL_CITATION,LI,ZOBODAT,"2798946",,,,CC0_1_0,,,,,13.01.2023 09:20:01,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"91431",9143/1,"100",A,QU,12.875010000000000,46.875000000000000,"9143","91","43","1",./0.png
12.04168,47.475,3885298949,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758",,AT,W?¶rgl,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.479999999999997,12.060000000000000,"500",,,,,,24.08.1935 00:00:00,"24","8","1935","1","0","0","0","0","1","8225376","8225376",OCCURRENCE,LI,ZOBODAT,"2849250",,Burmann Karl,,CC0_1_0,,Burmann Karl,,,13.01.2023 09:21:13,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"85381",8538/1,"100",AT,QU,12.041679999999999,47.475000000000001,"8538","85","38","1",./0.png
12.04168,47.475,3885298948,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758",,AT,W?¶rgl,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.479999999999997,12.060000000000000,"500",,,,,,19.07.1935 00:00:00,"19","7","1935","1","0","0","0","0","1","8225376","8225376",OCCURRENCE,LI,ZOBODAT,"2849241",,Burmann Karl,,CC0_1_0,,Burmann Karl,,,13.01.2023 09:21:13,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"85381",8538/1,"100",AT,QU,12.041679999999999,47.475000000000001,"8538","85","38","1",./0.png
12.04168,47.475,3885269277,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,,SPECIES,"Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758","Papilio machaon Linnaeus, 1758",,AT,W?¶rgl,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.479999999999997,12.060000000000000,"500",,,,,,10.07.1935 00:00:00,"10","7","1935","1","0","0","0","0","1","8225376","8225376",OCCURRENCE,LI,ZOBODAT,"2849237",,Burmann Karl,,CC0_1_0,,Burmann Karl,,,13.01.2023 09:21:13,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"85381",8538/1,"100",AT,QU,12.041679999999999,47.475000000000001,"8538","85","38","1",./0.png
