X,Y,gbifID,datasetKey,occurrence,kingdom,phylum,class,order,family,genus,species,infraspeci,taxonRank,scientific,verbatimSc,Name_BO2,verbatim_1,countryCod,locality,stateProvi,occurren_1,individual,publishing,decimalLat,decimalLon,coordinate,coordina_1,elevation,elevationA,depth,depthAccur,eventDate,day,month,year,1,2,3,4,5,6,taxonKey,speciesKey,basisOfRec,institutio,collection,catalogNum,recordNumb,identified,dateIdenti,license,rightsHold,recordedBy,typeStatus,establishm,lastInterp,mediaType,issue,FID,BL_KZ,BL,ST_KZ,ST,FL,FL_KM,STAND,SHAPE_Leng,SHAPE_Area,RASTERF,QUADR,INSIDE,BLAND,FELD_IN_A,X_COORD,Y_COORD,GFELD,GFELD_Y,GFELD_X,QU,icon_url
10.45834,47.125,367098904,7b904404-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius apollo,brittingeri,VARIETY,"Parnassius apollo brittingeri Rebel & Rogenhofer, 1892",Parnassius apollo brittingeri Rebel & Rogenhofer 1893,"Parnassius apollo brittingeri Rebel & Rogenhofer, 1892",,AT,Gf?¤llhaus/ Landeck SW,,PRESENT,,f9912a00-84a9-11d9-8952-b8a03c50a862,47.100082999999998,10.486056000000000,,,"1001",,,,##############################################################################################################################################################################################################################################################,"15","7","1898","1","0","0","0","0","1","7824512","1938810",OCCURRENCE,TLMF,Tiroler Landesmuseum Ferdinandeum,85F2BB42-E0E8-49DB-9E08-05E6A730191F,,,,CC_BY_4_0,,Schuler J.,,,11.01.2023 07:56:45,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"88284",8828/4,"100",AT,QU,10.458340000000000,47.125000000000000,"8828","88","28","4",./0.png
11.37501,47.225,367098753,7b904404-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius apollo,brittingeri,VARIETY,"Parnassius apollo brittingeri Rebel & Rogenhofer, 1892",Parnassius apollo brittingeri Rebel & Rogenhofer 1893,"Parnassius apollo brittingeri Rebel & Rogenhofer, 1892",,AT,Brennerstra??e - Innsbruck S,,PRESENT,,f9912a00-84a9-11d9-8952-b8a03c50a862,47.246389000000001,11.393333000000000,,,"700",,,,20.06.1900 00:00:00,"20","6","1900","1","0","0","0","0","1","7824512","1938810",OCCURRENCE,TLMF,Tiroler Landesmuseum Ferdinandeum,EBE9FC00-2D85-471E-BCA2-D6FD1CD091B1,,,,CC_BY_4_0,,,,,11.01.2023 07:56:45,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"87343",8734/3,"100",AT,QU,11.375010000000000,47.225000000000001,"8734","87","34","3",./0.png
10.79168,47.075,367098913,7b904404-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius apollo,brittingeri,VARIETY,"Parnassius apollo brittingeri Rebel & Rogenhofer, 1892",Parnassius apollo brittingeri Rebel & Rogenhofer 1893,"Parnassius apollo brittingeri Rebel & Rogenhofer, 1892",,AT,Pitztal,,PRESENT,,f9912a00-84a9-11d9-8952-b8a03c50a862,47.096249999999998,10.821139000000001,,,"1000",,,,15.06.1913 00:00:00,"15","6","1913","1","0","0","0","0","1","7824512","1938810",OCCURRENCE,TLMF,Tiroler Landesmuseum Ferdinandeum,34EBC6CF-1FC2-4CD3-88D9-3E1D652F2827,,,,CC_BY_4_0,,Deutsch A.,,,11.01.2023 07:56:45,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"89302",8930/2,"100",AT,QU,10.791679999999999,47.075000000000003,"8930","89","30","2",./0.png
11.37501,47.225,367098721,7b904404-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius apollo,brittingeri,VARIETY,"Parnassius apollo brittingeri Rebel & Rogenhofer, 1892",Parnassius apollo brittingeri Rebel & Rogenhofer 1893,"Parnassius apollo brittingeri Rebel & Rogenhofer, 1892",,AT,Ahrntal - Innsbruck S,,PRESENT,,f9912a00-84a9-11d9-8952-b8a03c50a862,47.212499999999999,11.401667000000000,,,"700",,,,14.06.1913 00:00:00,"14","6","1913","1","0","0","0","0","1","7824512","1938810",OCCURRENCE,TLMF,Tiroler Landesmuseum Ferdinandeum,6389BF14-25AB-4CC4-BE7E-D2F9334D1EE8,,,,CC_BY_4_0,,Mayrhofer,,,11.01.2023 07:57:14,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"87343",8734/3,"100",AT,QU,11.375010000000000,47.225000000000001,"8734","87","34","3",./0.png
11.37501,47.225,367098719,7b904404-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius apollo,brittingeri,VARIETY,"Parnassius apollo brittingeri Rebel & Rogenhofer, 1892",Parnassius apollo brittingeri Rebel & Rogenhofer 1893,"Parnassius apollo brittingeri Rebel & Rogenhofer, 1892",,AT,Ahrntal - Innsbruck S,,PRESENT,,f9912a00-84a9-11d9-8952-b8a03c50a862,47.212499999999999,11.401667000000000,,,"700",,,,10.07.1913 00:00:00,"10","7","1913","1","0","0","0","0","1","7824512","1938810",OCCURRENCE,TLMF,Tiroler Landesmuseum Ferdinandeum,ED0CDDD9-7DEE-4051-8A9D-E0C585F73743,,,,CC_BY_4_0,,Mayrhofer,,,11.01.2023 07:56:45,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"87343",8734/3,"100",AT,QU,11.375010000000000,47.225000000000001,"8734","87","34","3",./0.png
11.20834,47.275,367098841,7b904404-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius apollo,brittingeri,VARIETY,"Parnassius apollo brittingeri Rebel & Rogenhofer, 1892",Parnassius apollo brittingeri Rebel & Rogenhofer 1893,"Parnassius apollo brittingeri Rebel & Rogenhofer, 1892",,AT,Zirl,,PRESENT,,f9912a00-84a9-11d9-8952-b8a03c50a862,47.272388999999997,11.243750000000000,,,"622",,,,11.07.1914 00:00:00,"11","7","1914","1","0","0","0","0","1","7824512","1938810",OCCURRENCE,TLMF,Tiroler Landesmuseum Ferdinandeum,488EBDE1-2848-410B-946F-1770D41D5261,,,,CC_BY_4_0,,Wenzel,,,11.01.2023 07:56:45,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"87331",8733/1,"100",AT,QU,11.208340000000000,47.274999999999999,"8733","87","33","1",./0.png
12.29168,47.575,367098795,7b904404-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius apollo,brittingeri,VARIETY,"Parnassius apollo brittingeri Rebel & Rogenhofer, 1892",Parnassius apollo brittingeri Rebel & Rogenhofer 1893,"Parnassius apollo brittingeri Rebel & Rogenhofer, 1892",,AT,Totenkirchl - Kufstein SE,,PRESENT,,f9912a00-84a9-11d9-8952-b8a03c50a862,47.570777999999997,12.312861000000000,,,"2190",,,,01.01.1914 00:00:00,"1","1","1914","1","0","0","0","0","1","7824512","1938810",OCCURRENCE,TLMF,Tiroler Landesmuseum Ferdinandeum,58F0A5AF-2FDC-4519-9C78-CCD8CA218083,,,,CC_BY_4_0,,,,,11.01.2023 07:57:14,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"84392",8439/2,"100",AT,QU,12.291679999999999,47.575000000000003,"8439","84","39","2",./0.png
11.37501,47.225,367098720,7b904404-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius apollo,brittingeri,VARIETY,"Parnassius apollo brittingeri Rebel & Rogenhofer, 1892",Parnassius apollo brittingeri Rebel & Rogenhofer 1893,"Parnassius apollo brittingeri Rebel & Rogenhofer, 1892",,AT,Ahrntal - Innsbruck S,,PRESENT,,f9912a00-84a9-11d9-8952-b8a03c50a862,47.212499999999999,11.401667000000000,,,"700",,,,01.07.1914 00:00:00,"1","7","1914","1","0","0","0","0","1","7824512","1938810",OCCURRENCE,TLMF,Tiroler Landesmuseum Ferdinandeum,44CC4CAC-3799-4904-BE42-B945491C7B39,,,,CC_BY_4_0,,Mayrhofer,,,11.01.2023 07:57:14,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"87343",8734/3,"100",AT,QU,11.375010000000000,47.225000000000001,"8734","87","34","3",./0.png
11.20834,47.275,367098812,7b904404-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius apollo,brittingeri,VARIETY,"Parnassius apollo brittingeri Rebel & Rogenhofer, 1892",Parnassius apollo brittingeri Rebel & Rogenhofer 1893,"Parnassius apollo brittingeri Rebel & Rogenhofer, 1892",,AT,Zirl,,PRESENT,,f9912a00-84a9-11d9-8952-b8a03c50a862,47.272388999999997,11.243750000000000,,,"622",,,,06.06.1915 00:00:00,"6","6","1915","1","0","0","0","0","1","7824512","1938810",OCCURRENCE,TLMF,Tiroler Landesmuseum Ferdinandeum,CBCC4D35-EBB2-40AB-9355-722941BA9B26,,,,CC_BY_4_0,,,,,11.01.2023 07:57:15,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"87331",8733/1,"100",AT,QU,11.208340000000000,47.274999999999999,"8733","87","33","1",./0.png
12.04168,47.475,367098792,7b904404-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius apollo,brittingeri,VARIETY,"Parnassius apollo brittingeri Rebel & Rogenhofer, 1892",Parnassius apollo brittingeri Rebel & Rogenhofer 1893,"Parnassius apollo brittingeri Rebel & Rogenhofer, 1892",,AT,W?¶rgl,,PRESENT,,f9912a00-84a9-11d9-8952-b8a03c50a862,47.486722000000000,12.066528000000000,,,"513",,,,27.06.1915 00:00:00,"27","6","1915","1","0","0","0","0","1","7824512","1938810",OCCURRENCE,TLMF,Tiroler Landesmuseum Ferdinandeum,D0F21D8E-9B27-4033-98E4-59C57E1BE62D,,,,CC_BY_4_0,,,,,11.01.2023 07:57:13,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"85381",8538/1,"100",AT,QU,12.041679999999999,47.475000000000001,"8538","85","38","1",./0.png
11.37501,47.275,367098592,7b904404-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius apollo,brittingeri,VARIETY,"Parnassius apollo brittingeri Rebel & Rogenhofer, 1892",Parnassius apollo brittingeri Rebel & Rogenhofer 1893,"Parnassius apollo brittingeri Rebel & Rogenhofer, 1892",,AT,Innsbruck,,PRESENT,,f9912a00-84a9-11d9-8952-b8a03c50a862,47.266388999999997,11.389666999999999,,,"574",,,,10.06.1915 00:00:00,"10","6","1915","1","0","0","0","0","1","7824512","1938810",OCCURRENCE,TLMF,Tiroler Landesmuseum Ferdinandeum,0C19E85A-CE17-4C16-A67B-D9C19B10113D,,,,CC_BY_4_0,,Zangl J.,,,11.01.2023 07:56:46,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"87341",8734/1,"100",AT,QU,11.375010000000000,47.274999999999999,"8734","87","34","1",./0.png
11.37501,47.225,367098672,7b904404-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius apollo,brittingeri,VARIETY,"Parnassius apollo brittingeri Rebel & Rogenhofer, 1892",Parnassius apollo brittingeri Rebel & Rogenhofer 1893,"Parnassius apollo brittingeri Rebel & Rogenhofer, 1892",,AT,Unterberg/ Innsbruck SW,,PRESENT,,f9912a00-84a9-11d9-8952-b8a03c50a862,47.207110999999998,11.391889000000001,,,"692",,,,27.05.1917 00:00:00,"27","5","1917","1","0","0","0","0","1","7824512","1938810",OCCURRENCE,TLMF,Tiroler Landesmuseum Ferdinandeum,7BEC0E15-0660-417B-BFD4-C063925178A3,,,,CC_BY_4_0,,Deutsch A.,,,11.01.2023 07:56:45,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"87343",8734/3,"100",AT,QU,11.375010000000000,47.225000000000001,"8734","87","34","3",./0.png
11.37501,47.275,367098667,7b904404-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius apollo,brittingeri,VARIETY,"Parnassius apollo brittingeri Rebel & Rogenhofer, 1892",Parnassius apollo brittingeri Rebel & Rogenhofer 1893,"Parnassius apollo brittingeri Rebel & Rogenhofer, 1892",,AT,Innsbruck,,PRESENT,,f9912a00-84a9-11d9-8952-b8a03c50a862,47.266388999999997,11.389666999999999,,,"574",,,,17.06.1917 00:00:00,"17","6","1917","1","0","0","0","0","1","7824512","1938810",OCCURRENCE,TLMF,Tiroler Landesmuseum Ferdinandeum,EAE42E32-CE38-4AEC-9BAD-129E86224401,,,,CC_BY_4_0,,Deutsch A.,,,11.01.2023 07:57:15,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"87341",8734/1,"100",AT,QU,11.375010000000000,47.274999999999999,"8734","87","34","1",./0.png
11.37501,47.275,367098641,7b904404-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius apollo,brittingeri,VARIETY,"Parnassius apollo brittingeri Rebel & Rogenhofer, 1892",Parnassius apollo brittingeri Rebel & Rogenhofer 1893,"Parnassius apollo brittingeri Rebel & Rogenhofer, 1892",,AT,Innsbruck,,PRESENT,,f9912a00-84a9-11d9-8952-b8a03c50a862,47.266388999999997,11.389666999999999,,,"574",,,,27.05.1917 00:00:00,"27","5","1917","1","0","0","0","0","1","7824512","1938810",OCCURRENCE,TLMF,Tiroler Landesmuseum Ferdinandeum,FF3B76D4-43B6-4D7D-830C-7383D8CF595E,,,,CC_BY_4_0,,Deutsch A.,,,11.01.2023 07:57:14,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"87341",8734/1,"100",AT,QU,11.375010000000000,47.274999999999999,"8734","87","34","1",./0.png
11.37501,47.275,367098619,7b904404-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius apollo,brittingeri,VARIETY,"Parnassius apollo brittingeri Rebel & Rogenhofer, 1892",Parnassius apollo brittingeri Rebel & Rogenhofer 1893,"Parnassius apollo brittingeri Rebel & Rogenhofer, 1892",,AT,Innsbruck,,PRESENT,,f9912a00-84a9-11d9-8952-b8a03c50a862,47.266388999999997,11.389666999999999,,,"574",,,,07.06.1917 00:00:00,"7","6","1917","1","0","0","0","0","1","7824512","1938810",OCCURRENCE,TLMF,Tiroler Landesmuseum Ferdinandeum,D49CDEFF-410C-4093-B6DE-AACA292FBBCA,,,,CC_BY_4_0,,Deutsch A.,,,11.01.2023 07:56:46,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"87341",8734/1,"100",AT,QU,11.375010000000000,47.274999999999999,"8734","87","34","1",./0.png
11.37501,47.275,367098615,7b904404-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius apollo,brittingeri,VARIETY,"Parnassius apollo brittingeri Rebel & Rogenhofer, 1892",Parnassius apollo brittingeri Rebel & Rogenhofer 1893,"Parnassius apollo brittingeri Rebel & Rogenhofer, 1892",,AT,Innsbruck,,PRESENT,,f9912a00-84a9-11d9-8952-b8a03c50a862,47.266388999999997,11.389666999999999,,,"574",,,,01.06.1917 00:00:00,"1","6","1917","1","0","0","0","0","1","7824512","1938810",OCCURRENCE,TLMF,Tiroler Landesmuseum Ferdinandeum,C175B64C-AFF9-4901-990F-907481191411,,,,CC_BY_4_0,,Zangl J.,,,11.01.2023 07:57:15,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"87341",8734/1,"100",AT,QU,11.375010000000000,47.274999999999999,"8734","87","34","1",./0.png
11.37501,47.275,367098591,7b904404-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius apollo,brittingeri,VARIETY,"Parnassius apollo brittingeri Rebel & Rogenhofer, 1892",Parnassius apollo brittingeri Rebel & Rogenhofer 1893,"Parnassius apollo brittingeri Rebel & Rogenhofer, 1892",,AT,Innsbruck,,PRESENT,,f9912a00-84a9-11d9-8952-b8a03c50a862,47.266388999999997,11.389666999999999,,,"574",,,,01.06.1917 00:00:00,"1","6","1917","1","0","0","0","0","1","7824512","1938810",OCCURRENCE,TLMF,Tiroler Landesmuseum Ferdinandeum,A100B19D-EA3B-4C34-A4FF-D432D06D7407,,,,CC_BY_4_0,,Zangl J.,,,11.01.2023 07:56:45,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"87341",8734/1,"100",AT,QU,11.375010000000000,47.274999999999999,"8734","87","34","1",./0.png
11.37501,47.275,367098620,7b904404-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius apollo,brittingeri,VARIETY,"Parnassius apollo brittingeri Rebel & Rogenhofer, 1892",Parnassius apollo brittingeri Rebel & Rogenhofer 1893,"Parnassius apollo brittingeri Rebel & Rogenhofer, 1892",,AT,Innsbruck,,PRESENT,,f9912a00-84a9-11d9-8952-b8a03c50a862,47.266388999999997,11.389666999999999,,,"574",,,,20.05.1918 00:00:00,"20","5","1918","1","0","0","0","0","1","7824512","1938810",OCCURRENCE,TLMF,Tiroler Landesmuseum Ferdinandeum,1E4E72DA-16D2-4A95-9BF1-D8B8798D58EB,,,,CC_BY_4_0,,Deutsch A.,,,11.01.2023 07:57:13,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"87341",8734/1,"100",AT,QU,11.375010000000000,47.274999999999999,"8734","87","34","1",./0.png
11.37501,47.275,367098598,7b904404-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius apollo,brittingeri,VARIETY,"Parnassius apollo brittingeri Rebel & Rogenhofer, 1892",Parnassius apollo brittingeri Rebel & Rogenhofer 1893,"Parnassius apollo brittingeri Rebel & Rogenhofer, 1892",,AT,Innsbruck,,PRESENT,,f9912a00-84a9-11d9-8952-b8a03c50a862,47.266388999999997,11.389666999999999,,,"574",,,,28.05.1918 00:00:00,"28","5","1918","1","0","0","0","0","1","7824512","1938810",OCCURRENCE,TLMF,Tiroler Landesmuseum Ferdinandeum,4D56F983-6664-48FD-9C46-3117DE4AF312,,,,CC_BY_4_0,,Zangl J.,,,11.01.2023 07:57:13,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"87341",8734/1,"100",AT,QU,11.375010000000000,47.274999999999999,"8734","87","34","1",./0.png
11.37501,47.275,367098595,7b904404-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius apollo,brittingeri,VARIETY,"Parnassius apollo brittingeri Rebel & Rogenhofer, 1892",Parnassius apollo brittingeri Rebel & Rogenhofer 1893,"Parnassius apollo brittingeri Rebel & Rogenhofer, 1892",,AT,Innsbruck,,PRESENT,,f9912a00-84a9-11d9-8952-b8a03c50a862,47.266388999999997,11.389666999999999,,,"574",,,,20.05.1918 00:00:00,"20","5","1918","1","0","0","0","0","1","7824512","1938810",OCCURRENCE,TLMF,Tiroler Landesmuseum Ferdinandeum,A5E024C2-4EA8-4DDC-AEE7-CD988244DFF9,,,,CC_BY_4_0,,Zangl J.,,,11.01.2023 07:57:14,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"87341",8734/1,"100",AT,QU,11.375010000000000,47.274999999999999,"8734","87","34","1",./0.png
11.37501,47.275,367098594,7b904404-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius apollo,brittingeri,VARIETY,"Parnassius apollo brittingeri Rebel & Rogenhofer, 1892",Parnassius apollo brittingeri Rebel & Rogenhofer 1893,"Parnassius apollo brittingeri Rebel & Rogenhofer, 1892",,AT,Innsbruck,,PRESENT,,f9912a00-84a9-11d9-8952-b8a03c50a862,47.266388999999997,11.389666999999999,,,"574",,,,01.06.1918 00:00:00,"1","6","1918","1","0","0","0","0","1","7824512","1938810",OCCURRENCE,TLMF,Tiroler Landesmuseum Ferdinandeum,14BF7E39-0F3F-4568-9A2E-6C104234B674,,,,CC_BY_4_0,,Zangl J.,,,11.01.2023 07:57:13,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"87341",8734/1,"100",AT,QU,11.375010000000000,47.274999999999999,"8734","87","34","1",./0.png
11.37501,47.275,367098593,7b904404-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius apollo,brittingeri,VARIETY,"Parnassius apollo brittingeri Rebel & Rogenhofer, 1892",Parnassius apollo brittingeri Rebel & Rogenhofer 1893,"Parnassius apollo brittingeri Rebel & Rogenhofer, 1892",,AT,Innsbruck,,PRESENT,,f9912a00-84a9-11d9-8952-b8a03c50a862,47.266388999999997,11.389666999999999,,,"574",,,,03.05.1918 00:00:00,"3","5","1918","1","0","0","0","0","1","7824512","1938810",OCCURRENCE,TLMF,Tiroler Landesmuseum Ferdinandeum,674043A3-75B5-4D5A-83D1-5D9CD0CFCD47,,,,CC_BY_4_0,,Zangl J.,,,11.01.2023 07:56:45,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"87341",8734/1,"100",AT,QU,11.375010000000000,47.274999999999999,"8734","87","34","1",./0.png
10.79168,47.075,367098912,7b904404-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius apollo,brittingeri,VARIETY,"Parnassius apollo brittingeri Rebel & Rogenhofer, 1892",Parnassius apollo brittingeri Rebel & Rogenhofer 1893,"Parnassius apollo brittingeri Rebel & Rogenhofer, 1892",,AT,Pitztal,,PRESENT,,f9912a00-84a9-11d9-8952-b8a03c50a862,47.096249999999998,10.821139000000001,,,"1000",,,,13.08.1919 00:00:00,"13","8","1919","1","0","0","0","0","1","7824512","1938810",OCCURRENCE,TLMF,Tiroler Landesmuseum Ferdinandeum,D4B87279-911A-4C57-BDB0-C133B9987867,,,,CC_BY_4_0,,Deutsch A.,,,11.01.2023 07:57:15,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"89302",8930/2,"100",AT,QU,10.791679999999999,47.075000000000003,"8930","89","30","2",./0.png
11.20834,47.275,367098813,7b904404-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius apollo,brittingeri,VARIETY,"Parnassius apollo brittingeri Rebel & Rogenhofer, 1892",Parnassius apollo brittingeri Rebel & Rogenhofer 1893,"Parnassius apollo brittingeri Rebel & Rogenhofer, 1892",,AT,Zirl,,PRESENT,,f9912a00-84a9-11d9-8952-b8a03c50a862,47.272388999999997,11.243750000000000,,,"622",,,,06.06.1919 00:00:00,"6","6","1919","1","0","0","0","0","1","7824512","1938810",OCCURRENCE,TLMF,Tiroler Landesmuseum Ferdinandeum,779F18C4-BAFA-45A2-9256-4E3A56A371FE,,,,CC_BY_4_0,,Reuter F.,,,11.01.2023 07:57:15,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"87331",8733/1,"100",AT,QU,11.208340000000000,47.274999999999999,"8733","87","33","1",./0.png
11.37501,47.275,367098668,7b904404-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius apollo,brittingeri,VARIETY,"Parnassius apollo brittingeri Rebel & Rogenhofer, 1892",Parnassius apollo brittingeri Rebel & Rogenhofer 1893,"Parnassius apollo brittingeri Rebel & Rogenhofer, 1892",,AT,Innsbruck,,PRESENT,,f9912a00-84a9-11d9-8952-b8a03c50a862,47.266388999999997,11.389666999999999,,,"574",,,,28.06.1919 00:00:00,"28","6","1919","1","0","0","0","0","1","7824512","1938810",OCCURRENCE,TLMF,Tiroler Landesmuseum Ferdinandeum,74A72E25-0F68-4D5E-8620-F8A553FCEED9,,,,CC_BY_4_0,,Deutsch A.,,,11.01.2023 07:57:15,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"87341",8734/1,"100",AT,QU,11.375010000000000,47.274999999999999,"8734","87","34","1",./0.png
11.37501,47.275,367098606,7b904404-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius apollo,brittingeri,VARIETY,"Parnassius apollo brittingeri Rebel & Rogenhofer, 1892",Parnassius apollo brittingeri Rebel & Rogenhofer 1893,"Parnassius apollo brittingeri Rebel & Rogenhofer, 1892",,AT,Innsbruck,,PRESENT,,f9912a00-84a9-11d9-8952-b8a03c50a862,47.266388999999997,11.389666999999999,,,"574",,,,18.06.1919 00:00:00,"18","6","1919","1","0","0","0","0","1","7824512","1938810",OCCURRENCE,TLMF,Tiroler Landesmuseum Ferdinandeum,F7632256-3B1F-4BF5-A25F-41FF19B57DC2,,,,CC_BY_4_0,,Zangl J.,,,11.01.2023 07:57:13,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"87341",8734/1,"100",AT,QU,11.375010000000000,47.274999999999999,"8734","87","34","1",./0.png
